index, bandwidth, time
0,22412.9,1574627033
1,22368.9,1574627034
2,22680.1,1574627035
3,22238.9,1574627036
4,21685.6,1574627037
5,21905.7,1574627038
6,21005.3,1574627039
7,20847.7,1574627040
8,20759.1,1574627041
9,20980.7,1574627042
10,20375.4,1574627043
11,16499.1,1574627044
12,12688.7,1574627045
13,12655.7,1574627046
14,12764.2,1574627047
15,12805.2,1574627048
16,12708.7,1574627049
17,12780.7,1574627050
18,12852.8,1574627051
19,12750.2,1574627052
20,15740.7,1574627053
21,18016.3,1574627054
22,18433,1574627055
23,18142.4,1574627056
24,18169.4,1574627057
25,17960.8,1574627058
26,18031.3,1574627059
27,18061.8,1574627060
