index, bandwidth, time
0,12833.2,1574627044
1,12644.2,1574627045
2,12624.6,1574627046
3,12874.9,1574627047
4,12840.2,1574627048
5,12550.1,1574627049
6,12899.3,1574627050
7,12823.8,1574627051
8,12865.3,1574627052
9,18170.4,1574627053
10,17965.8,1574627054
11,18432.5,1574627055
12,18211.3,1574627056
13,18066.4,1574627057
14,17984.4,1574627058
15,18091.2,1574627059
16,17914.6,1574627060
17,29375,1574627061
18,40971.5,1574627062
19,42110.1,1574627063
20,44072.8,1574627064
21,43371.4,1574627065
22,42646.3,1574627066
23,42217.1,1574627067
24,42942.5,1574627068
25,42432,1574627069
26,17865.5,1574627070
27,0,1574627071
28,0,1574627072
29,0,1574627073
30,0,1574627074
31,0,1574627075
32,0,1574627076
