index, bandwidth, time
0,55790.7,1574627025
1,55502.6,1574627026
2,56855.7,1574627027
3,57154.4,1574627028
4,56857.2,1574627029
5,56736.7,1574627030
6,55976.8,1574627031
7,45265.6,1574627032
8,22518,1574627033
9,22494,1574627034
10,22662.1,1574627035
11,21629.1,1574627036
12,21964.7,1574627037
13,21575,1574627038
14,20992.2,1574627039
15,20772.6,1574627040
16,20824.2,1574627041
17,20790.1,1574627042
18,20604.6,1574627043
19,13957.8,1574627044
20,12571.1,1574627045
21,12671.2,1574627046
22,12777.7,1574627047
23,12856.3,1574627048
24,12583.1,1574627049
25,12894.8,1574627050
26,12831.8,1574627051
27,12773.7,1574627052
