index, bandwidth, time
0,55915.8,1574627025
1,55552.1,1574627026
2,56916.8,1574627027
3,57030.3,1574627028
4,57002.3,1574627029
5,56538.6,1574627030
6,55917.8,1574627031
7,45258.1,1574627032
8,22517.4,1574627033
9,22494.5,1574627034
10,22663.1,1574627035
11,21628,1574627036
12,21964.7,1574627037
13,21575.5,1574627038
14,20991.7,1574627039
15,20772.2,1574627040
16,20825.9,1574627041
17,20789.8,1574627042
18,20604,1574627043
19,13956.4,1574627044
20,12574.7,1574627045
21,12668.7,1574627046
22,12776.7,1574627047
23,12857.7,1574627048
24,12579.7,1574627049
25,12897.8,1574627050
26,12831,1574627051
27,12772.5,1574627052
28,1085.91,1574627053
29,0,1574627054
30,0,1574627055
31,0,1574627056
32,0,1574627057
33,0,1574627058
34,0,1574627059
35,0,1574627060
36,0,1574627061
37,0,1574627062
38,0,1574627063
39,0,1574627064
40,0,1574627065
41,0,1574627066
42,0,1574627067
43,0,1574627068
44,0,1574627069
45,0,1574627070
46,0,1574627071
47,0,1574627072
48,0,1574627073
49,0,1574627074
50,0,1574627075
